gene_symbol,mean_log2_NNK,mean_log2_WT,log2FC,statistic,p.value,p_adj
PHC1P1,4.832847090211805,5.387538281613362,-0.5546911914015569,-2.3070018338855127,0.026262525846705825,0.04752478233397961
USP3,9.458275087226244,9.702141639471757,-0.24386655224551212,-2.320862109168956,0.026261839627583463,0.04752478233397961
STX12,8.978491013743485,8.661391318386952,0.31709969535653215,2.308511927522644,0.026285776646212046,0.04756182621506036
ADPRHL1,3.6903410318967573,4.681918066059714,-0.9915770341629564,-2.3259882336895163,0.02631324489183293,0.04760649255599384
SPTY2D1,8.503449883946026,8.21539828286775,0.2880516010782763,2.3022940311940205,0.026344794285354276,0.047658532371136826
CARHSP1,7.464358593937212,7.165662439874483,0.2986961540627293,2.304841765523986,0.026366262354052615,0.047692325687580056
TMEM65,7.7621705114627115,8.234354999836754,-0.47218448837404203,-2.336363781000992,0.02637408676061896,0.04770143527864142
TSPAN2,6.35381210459058,7.117617817168349,-0.7638057125777689,-2.3002501882580364,0.026426330024967082,0.04779087252295315
RNPEP,7.6857594388335855,7.982933814696983,-0.29717437586339734,-2.3199762527887233,0.026438267931891506,0.04780740807301553
AC009506.1,4.622900991216176,5.086486847165022,-0.46358585594884616,-2.298305285696903,0.02649056249537121,0.04789690796563208
TSGA10,8.481884994266835,7.897523103431547,0.5843618908352877,2.338193536703887,0.026504462578247307,0.047916976200851204
PABPC4,9.68376672679695,9.935097592106185,-0.2513308653092352,-2.306976859130823,0.02652511158365841,0.047949240170459435
MIR4426,4.614750926447124,5.0373743345063025,-0.4226234080591782,-2.297647008361298,0.026538003012852383,0.04796747549327825
CYSLTR1,4.071917537968744,5.106647818886888,-1.0347302809181436,-2.299815519500358,0.026541785624894346,0.047969244503559313
RPL21P28,5.356500302711781,6.004374763842585,-0.6478744611308045,-2.301748049042294,0.026557440376170804,0.04799246751405198
TSTD2,8.360862273768936,8.660736773466095,-0.2998744996971592,-2.30963960023845,0.026581875367470056,0.0480315508857919
CYLD,9.232012574558869,9.603937748199845,-0.3719251736409763,-2.340675511845884,0.026589330277267693,0.04803994744782931
LINC00663,5.842903526854272,5.400083042631794,0.44282048422247833,2.3129153247341203,0.026628775218881823,0.048106133732273515
ADRA1A,4.24224169117844,2.8671795369119577,1.375062154266482,2.3255106736663094,0.026653456893160572,0.04814563831994415
RGS16,6.714824516211025,5.908274358744311,0.806550157466714,2.3147265467047826,0.026659752417842034,0.04815192613644864
SUV420H1,9.550319317267656,9.809248117648893,-0.2589288003812378,-2.323282241960754,0.026672143025832595,0.04816413583343298
RNF24,8.339069467962817,8.836614996146645,-0.4975455281838279,-2.2952633120845567,0.026671272089380114,0.04816413583343298
RSF1-IT2,2.9909189692953038,3.7447858840421233,-0.7538669147468195,-2.312041991692944,0.026705262919041572,0.04821885361677712
PPFIBP1,11.232201863207093,10.942498711097391,0.289703152109702,2.3053290970631637,0.026709016861538527,0.0482205424722669
AC007276.5,3.88169783842543,4.639154223645936,-0.7574563852205061,-2.2949476011747203,0.02671977541343464,0.04823487578063098
CACNA1A,3.573022765994618,4.265010799931196,-0.6919880339365783,-2.2949535907223835,0.026730043166209187,0.048248320161163406
MED6,7.6779052226609315,8.079503728866527,-0.40159850620559556,-2.344127330291878,0.02673989751268565,0.04826101557622388
RAB33B,6.907794719035108,7.285757270204703,-0.37796255116959543,-2.2996476927464657,0.026753789386655468,0.04828099460199385
SKAP2,8.774328146882524,8.17368629845665,0.6006418484258749,2.353960570901506,0.02676462012015451,0.04829035235347009
PIK3AP1,7.813627902229033,8.414963756334156,-0.6013358541051232,-2.307430422523012,0.02676305466457615,0.04829035235347009
XKR6,6.525087612469027,6.936292379176565,-0.411204766707538,-2.321784426861069,0.026803206653068814,0.04835487286941909
TCEAL3,6.333222240199851,6.008728564962966,0.32449367523688544,2.293600874595085,0.02681279165250766,0.04836706448661968
HMGA1,7.087541094234553,6.338742136082893,0.7487989581516601,2.307338654074513,0.026842552390880136,0.04841564431240668
OPHN1,8.968848949167665,8.59298249257935,0.3758664565883141,2.3210941673587024,0.026877118989313272,0.04847288126388061
REV3L-IT1,3.7817768067996087,4.422082067315784,-0.640305260516175,-2.2917470784739544,0.02689544422203829,0.04849570612886078
CRY1,8.076656753846391,8.531946716904391,-0.45528996305800007,-2.2932388549950913,0.026893820545808893,0.04849570612886078
